,keywords,xyear,_material,_height,_width,year,_description,id
272,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,3260,2420,1970-A,Four Men on a Road,272
273,"Paris,drawing,study,Figures,Still Life,nude",1887,typewritten,1300,2080,1970-B,Torso of Venus,273
274,"Paris,painting,Self-Portrait",1887,handwritten,1410,1910,1971-A,Self-Portrait,274
275,"Nuenen,drawing,Figures",1884,typewritten,2130,3420,1971-B,Three Hands,275
276,"Saint-Rémy-de-Provence,drawing,landscape",1890,typewritten,3190,2380,1972-A,The Wall Enclosing the Wheatfield near the Asylum,276
277,"Paris,drawing,Figures,nude",1887,other,2580,3480,1972-B,Dying Slave and Figures at a Table,277
278,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,2260,2870,1973-A,Woman Peeling Potatoes,278
279,"Arles,drawing,Cityscape,landscape,Nature",1888,other,3460,2580,1973-B,Park with Shrub,279
280,"Saint-Rémy-de-Provence,drawing,Figures",1890,typewritten,3180,2380,1970-A,Studies of a Hand,280
281,"Nuenen,sketch,drawing",1884,other,750,1240,1970-B,Landscape,281
282,"Paris,painting,Self-Portrait",1886,handwritten,3250,4150,1971-A,Self-Portrait with Felt Hat,282
283,"Arles,drawing,Figures",1888,other,6120,4930,1971-B,Seated Zouave,283
284,"Saint-Rémy-de-Provence,drawing,Nature",1889,other,2520,3300,1972-A,Tree and Wall in the Garden of the Asylum,284
285,"Paris,sketch,drawing",1886,other,1980,1090,1972-B,Head of a Man with Horns,285
286,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,typewritten,2070,3380,1973-A,Head of a Woman,286
287,"Paris,painting,Portrait",1887,handwritten,4570,6070,1973-B,Portrait of L&#233;onie Rose Charbuy-Davy,287
288,"Nuenen,drawing,Figures,Peasant Life",1885,photography,4280,5310,1970-A,Peasant Lifting Beet,288
289,"Nuenen,drawing,landscape,Peasant Life",1885,typewritten,4110,2860,1970-B,Wheatfield with Reaper and Peasant Woman Binding Sheaves,289
290,"Nuenen,painting,study,Figures,Heads,Peasant Life",1885,handwritten,3300,4550,1971-A,Woman with a Mourning Shawl,290
291,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3470,2110,1971-B,Sale of Building Scrap,291
292,"Nuenen,drawing,landscape,Peasant Life",1885,typewritten,2950,2260,1972-A,Stooks and a Mill,292
293,"Etten,drawing,Animals,Peasant Life",1881,other,6010,4150,1972-B,Donkey and Cart,293
294,"Saint-Rémy-de-Provence,drawing,Animals",1889,typewritten,3180,2380,1973-A,Studies of a Dead Sparrow,294
295,"Paris,drawing,Figures,Cityscape",1886,other,1010,1680,1973-B,Woman Walking Her Dog (&#39;A La Villette&#39;),295
296,"Saint-Rémy-de-Provence,drawing,landscape",1890,other,3230,2490,1970-A,The Walled Wheatfield,296
297,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3460,2100,1970-B,Man and Woman Sharing a Meal,297
298,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,2390,3190,1971-A,Sketches of Sitting Figures,298
299,"Auvers-sur-Oise,drawing,Nature,landscape",1890,typewritten,3120,2390,1971-B,Trees Along the River Oise,299
300,"Paris,drawing,Figures,Still Life,nude",1887,typewritten,2490,3220,1972-A,Young Slave,300
301,"Nuenen,drawing,Figures",1884,other,2120,3450,1972-B,Two Hands,301
302,"Paris,drawing,Animals,landscape",1887,other,3520,2690,1973-A,Four Swifts with Landscape Sketches,302
303,"Nuenen,drawing,landscape,Nature,Townscape",1884,other,5420,4020,1973-B,The Kingfisher,303
304,"1871 - 1880,The Hague,drawing,Figures",1873,other,1940,2630,1970-A,Old Woman Asleep (after Rops),304
305,"Auvers-sur-Oise,drawing,landscape,Nature",1890,other,3090,2370,1970-B,Landscape with the River Oise,305
306,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,700,2420,1971-A,Sketch of Women Doing the Washing,306
307,"The Hague,drawing,Figures",1882,typewritten,5660,3790,1971-B,The Poor and Money,307
308,"sketch,drawing",1885,other,1360,1020,1972-A,Figure,308
309,"Nuenen,painting,Still Life",1885,handwritten,4250,3150,1972-B,Beer Tankards,309
310,"Paris,painting,Figures",1887,handwritten,6070,10070,1973-A,Courtesan (after Eisen),310
311,"Nuenen,print,Figures,Peasant Life",1885,handwritten-diagram,3200,2650,1973-B,The Potato Eaters,311
312,"The Hague,drawing,Figures",1883,typewritten,2990,5560,1970-A,"Woman Sewing, with a Girl",312
313,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,4110,2860,1970-B,Peasant with a Fork,313
314,"Paris,sketch,drawing",1886,typewritten,1980,1090,1971-A,Seated Female Nude and notes,314
315,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,typewritten,3190,2380,1971-B,Studies of Diggers,315
316,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,3460,2090,1972-A,Four People Sharing a Meal,316
317,"Saint-Rémy-de-Provence,drawing,Townscape,Figures,Peasant Life",1890,typewritten,3190,2380,1972-B,Farmhouses and Studies of Diggers,317
318,"sketch,drawing",1890,other,850,1340,1973-A,Sitting Male Figure (after Bargue),318
319,"Paris,painting,study,Still Life",1886,handwritten,2680,3520,1973-B,Kneeling Ecorch&#233;,319
320,"Arles,drawing,Cityscape,landscape",1888,other,5010,3200,1970-A,The Park and Pond in Front of the Yellow House,320
321,"Paris,drawing,study,Figures,Still Life,nude",1887,typewritten,2460,3220,1970-B,Torso of Venus,321
322,"Nuenen,drawing,Figures,Peasant Life",1884,other,4030,2720,1971-A,Weaver,322
323,Paris,1886,typewritten,1980,1090,1971-B,Note,323
324,Paris,1886,other,1980,1090,1972-A,Note,324
325,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,other,2120,3450,1972-B,Head of a Woman,325
326,"Saint-Rémy-de-Provence,drawing,Nature",1889,other,4710,6180,1973-A,Tree with Ivy in the Garden of the Asylum,326
327,"Paris,drawing,Nature",1887,other,2620,3830,1973-B,Tracing of &#39;The Plum Tree Teahouse at Kameido&#39; of Hiroshige,327
328,"Saint-Rémy-de-Provence,drawing,landscape,Figures,Peasant Life",1890,typewritten,3230,2380,1970-A,Landscape with Cypresses and Studies of Figures,328
329,"Paris,drawing,landscape,Cityscape",1887,other,3950,5380,1970-B,Sailing Boat on the Seine at Asni&#232;res,329
330,"Saint-Rémy-de-Provence,drawing,interior",1889,typewritten,4760,6200,1971-A,Window in the Studio,330
331,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,other,1040,1580,1971-B,Head of a Woman,331
332,"sketch,drawing",1890,other,850,1340,1972-A,Standing Male Figure (after Bargue),332
333,"Arles,painting,landscape,Nature",1888,handwritten,6500,5400,1972-B,Wheatfield,333
334,"Nuenen,painting,Still Life",1885,handwritten,4400,3350,1973-A,Basket of Apples,334
335,"Paris,drawing,Self-Portrait",1887,other,2440,3110,1973-B,Self-Portraits,335
336,"sketch,drawing",1890,other,850,1340,1970-A,Hen,336
337,Nuenen,1884,other,750,1240,1970-B,Note,337
338,"Arles,painting,Nature,Blossom",1888,handwritten,3750,5000,1971-A,Peach Tree in Blossom,338
339,"sketch,drawing",1890,other,850,1340,1971-B,Ravine,339
340,"Antwerp,painting,Figures",1886,handwritten,2480,3230,1972-A,Head of a Skeleton with a Burning Cigarette,340
341,"Paris,drawing,Cityscape",1887,other,3160,2410,1972-B,Gate in the Paris Ramparts,341
342,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,other,3170,2390,1973-A,Studies of Figures,342
343,"The Hague,drawing,Figures",1882,other,2890,4800,1973-B,Old Man Reading,343
344,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,other,800,1420,1970-A,Head of a Man,344
345,"Nuenen,sketch,drawing",1884,other,750,1240,1970-B,Head of a Woman,345
346,"Paris,painting,Cityscape,landscape",1887,handwritten,4600,3200,1971-A,Bank of the Seine,346
347,"Paris,drawing,Cityscape",1886,other,1580,970,1971-B,Jardin du Luxembourg,347
348,"sketch,drawing",1890,other,850,1340,1972-A,Standing Male Figure (after Bargue),348
349,"Saint-Rémy-de-Provence,drawing,Figures",1890,other,3160,2380,1972-B,Studies of a Hand and a Digger,349
350,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,handwritten,0,7380,1973-A,The Garden of Saint Paul&#39;s Hospital (&#39;Leaf-Fall&#39;),350
351,"Nuenen,drawing,Figures,Peasant Life",1884,other,2060,2630,1973-B,Weaver,351
352,"Paris,painting,Nature,landscape",1887,handwritten,3770,4530,1970-A,Path in the Woods,352
353,"Auvers-sur-Oise,painting,Townscape,Peasant Life",1890,handwritten,4640,3890,1970-B,Farmhouse,353
354,"sketch,drawing",1890,other,850,1340,1971-A,Fishing Boat,354
355,"sketch,drawing",1890,other,850,1340,1971-B,Head of a Dog,355
356,"Nuenen,drawing,Figures",1884,other,2090,3500,1972-A,Two Hands,356
357,"Drenthe,drawing,landscape,Nature,Peasant Life",1883,watercolour on paper,5410,4170,1972-B,Landscape with a Stack of Peat and Farmhouses,357
358,"Paris,drawing,Cityscape",1887,other,5390,3950,1973-A,View from the Apartment in the Rue Lepic,358
359,"sketch,drawing",1890,typewritten,850,1340,1973-B,Woman,359
360,"Nuenen,sketch,drawing",1884,other,750,1240,1970-A,Construction drawing of a perspective frame and a stand,360
361,"sketch,drawing",1890,other,850,1340,1970-B,Landscape with a Tree,361
362,"sketch,drawing",1890,other,850,1340,1971-A,Poultry,362
363,"Paris,painting,Self-Portrait",1887,handwritten,3150,4180,1971-B,Self-Portrait with Straw Hat,363
364,"Paris,sketch,drawing",1886,other,1980,1080,1972-A,Head of a Man with Sun Visor,364
365,"The Hague,drawing,sketch,Figures",1883,,670,1000,1972-B,Little Child,365
366,"1871 - 1880,Etten,drawing,Townscape",1876,other,1780,950,1973-A,Vicarage and Church at Etten,366
367,"Nuenen,drawing,Figures,interior,Peasant Life",1884,watercolour on paper,3540,4480,1973-B,Man Winding Yarn,367
368,"sketch,drawing",1885,other,1360,1020,1970-A,Head of a Woman and notes,368
369,,1885,other,1360,1020,1970-B,Inside endpaper with notes and rubbing,369
370,"Arles,painting,Nature,landscape,Cityscape,Blossom",1889,handwritten,6550,5350,1971-A,"Orchards in Blossom, View of Arles",370
371,"Nuenen,sketch,drawing",1884,other,750,1240,1971-B,Two Heads of Men,371
372,"Paris,drawing,Figures,nude",1886,other,1310,2160,1972-A,Standing Male Nude Seen from the Front,372
373,"sketch,drawing",1885,other,940,1020,1972-B,Head of a Woman,373
374,"sketch,drawing",1886,typewritten,1360,1020,1973-A,Foot,374
375,"The Hague,drawing,Figures",1882,typewritten,2570,3380,1973-B,Baby,375
376,"Nuenen,drawing,Figures,Peasant Life",1885,typewritten,2800,4450,1970-A,Digger,376
377,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,typewritten,2810,2370,1970-B,Two Peasant Women Digging,377
378,"Nuenen,drawing,Figures,interior,Peasant Life",1885,photography,3530,4320,1971-A,Woman by a Hearth,378
379,"Nuenen,drawing,Figures",1885,typewritten,2100,3460,1971-B,Woman with a Shawl,379
380,"sketch,drawing",1890,typewritten,850,1340,1972-A,Digger,380
381,"Paris,drawing,study,Figures,Still Life,nude",1886,typewritten,4550,6110,1972-B,Torso of Venus,381
382,"Saint-Rémy-de-Provence,painting,Figures,interior,Peasant Life",1889,handwritten,9300,7420,1973-A,Evening (after Millet),382
383,"1871 - 1880,Ramsgate,drawing,Cityscape",1876,other,1090,690,1973-B,"View of Royal Road, Ramsgate",383
384,"The Hague,drawing,Figures",1882,other,3020,5040,1970-A,Old Man with a Stick,384
385,"Paris,drawing,Figures",1886,other,2330,1120,1970-B,Restaurant Menu,385
386,"Nuenen,painting,Still Life",1885,handwritten,6040,4500,1971-A,Basket of Apples,386
387,"sketch,drawing",1890,other,850,1340,1971-B,The Town Hall,387
388,"sketch,drawing",1890,typewritten,850,1340,1972-A,Woman,388
389,"Nuenen,sketch,drawing",1884,other,750,1240,1972-B,Head of a Man,389
390,"Auvers-sur-Oise,painting,landscape,Animals,Nature",1890,handwritten,10300,5050,1973-A,Wheatfield with Crows,390
391,"sketch,drawing",1886,typewritten,1360,1020,1973-B,Part of a Torso and Arm,391
392,"Saint-Rémy-de-Provence,drawing,Nature",1889,typewritten,2470,3300,1970-A,Pine Trees and Wall in the Garden of the Asylum,392
393,"Arles,drawing,landscape",1888,other,2570,3480,1970-B,Landscape with Hut,393
394,"sketch,drawing",1890,typewritten,850,1340,1971-A,Head of a Child,394
395,"Paris,drawing,Figures,Still Life,nude",1887,typewritten,3220,2460,1971-B,Male Torso and Study for &#39;Portrait of a Woman with Flowers&#39;,395
396,"Nuenen,drawing,Figures,Heads,Peasant Life",1884,other,2070,3330,1972-A,Head of a Young Man with a Pipe,396
397,"Nuenen,sketch,drawing",1884,other,750,1240,1972-B,Construction drawing of a perspective frame,397
398,"Nuenen,drawing,landscape",1884,other,3930,5420,1973-A,Avenue of Poplars,398
399,"Paris,drawing,Cityscape",1887,other,5440,4010,1973-B,The Boulevard de Clichy,399
